pm_name,lng,lat,pm_location
瑞陽公園,121.579223,25.077689000000003,文德路22巷10號對面
碧山公園,121.59195709,25.087080002,內湖路三段60巷10號前
碧湖公園,121.58428955,25.08218956,內湖路二段175號，國立臺灣戲曲學院旁
福壽公園,121.59655762,25.079809189,星雲街150巷18號旁
翠湖公園,121.602107,25.08626,大湖山莊街117號至147號後面
樂活公園,121.618814,25.068244,康樂街61巷15弄旁
樂康公園,121.62069702,25.070070267,康樂街61巷73弄24號對面
環東公園,121.5429306,25.043729782,南京東路六段北側與堤頂大道交叉口
麗湖公園,121.599282,25.073539,金湖路363巷67弄63號對面
寶湖公園,121.598514,25.067328,民權隧道西側(民權東路六段)
內湖110號綠地,121.5800705,25.071229935,臺北市內湖區瑞光路112巷及76巷旁(六期重劃)
內湖117號綠地,121.60185242,25.083269119,臺北市內湖區大湖山莊街與成功路5段交叉口、大湖設區國宅
內湖119號安興綠地,121.58367157,25.057699203,位於南京東路6段北側，安興街南側
文德1號綠地,121.58421326,25.078590393,臺北市內湖區文德路1號-91號間
石潭公園綠地,121.59320831,25.063119888000003,內湖成功路二段東側（麥帥公路兩側）
康樂綠地,121.6206131,25.07490921,臺北市內湖區康樂街191巷旁
港華5號綠地,121.57428741,25.085449219,臺北市內湖區環山路2段62號對面
湖興綠地,121.59089661,25.068939209,臺北市內湖區成功路2段312巷27號旁
紫陽綠地,121.58679962,25.076410294,臺北市內湖區陽光街55號、內湖高中後面
潭美綠地,121.5816803,25.057010651,新明路298巷16弄起至成功路2段潭美國小旁
麗湖綠地,121.600509,25.073374,金湖路363巷51弄口
